date,ticker,sentiment_mean,sentiment_std,message_count,stocktwits_count,newsapi_count,source
2026-03-17,AMZN,0.1774385577426239,0.4958392337803308,176.0,176,0.0,stocktwits
2026-03-17,NVDA,0.0645752552817708,0.3946168729495429,1612.0,1514,98.0,combined
2026-03-17,TSLA,0.10771259345192125,0.4414182432131358,549.0,544,5.0,combined
2026-03-18,AAPL,0.008799964065353064,0.33664503534220613,245.0,242,3.0,combined
2026-03-18,AMZN,0.014474889120326,0.524448398496299,187.0,187,0.0,stocktwits
2026-03-18,NVDA,0.07843709312490503,0.3721921793616485,1202.0,1104,98.0,combined
2026-03-18,TSLA,-0.08492939920791606,0.3529997789487912,641.0,638,3.0,combined
2026-03-19,AAPL,0.002084139833565502,0.3631665486359819,225.0,220,5.0,combined
2026-03-19,AMZN,0.2017589870193009,0.5190250156240945,141.0,141,0.0,stocktwits
2026-03-19,NVDA,0.062398838086836224,0.3804218477483098,962.0,880,82.0,combined
2026-03-19,TSLA,-0.17771699545203626,0.40731341228863904,977.0,972,5.0,combined
2026-03-20,AAPL,0.10215180189011985,0.3687674554753581,343.0,336,7.0,combined
2026-03-20,AMZN,0.0933763760461339,0.4690227180032681,175.0,175,0.0,stocktwits
2026-03-20,NVDA,-0.033467477479969636,0.40038349986691446,1418.0,1334,84.0,combined
2026-03-20,TSLA,-0.21290311201302267,0.4229445642104408,1534.0,1529,5.0,combined
2026-03-21,AAPL,-0.08712977818335949,0.3876483075667919,46.0,38,8.0,combined
2026-03-21,AMZN,0.1142056284895674,0.4960013760448648,55.0,55,0.0,stocktwits
2026-03-21,NVDA,0.018542883480228818,0.31236401060849905,234.0,201,33.0,combined
2026-03-21,TSLA,0.0168324914093738,0.32495447141130035,210.0,208,2.0,combined
2026-03-22,AAPL,-0.10153947385842912,0.4075591427475325,76.0,72,4.0,combined
2026-03-22,AMZN,0.0292539245225877,0.5506432953772147,48.0,48,0.0,stocktwits
2026-03-22,NVDA,0.030575038445213504,0.3454383190090525,292.0,267,25.0,combined
2026-03-22,TSLA,-0.12442582552355094,0.39023046298241987,346.0,344,2.0,combined
2026-03-23,AAPL,0.022123052695659975,0.4093515813666485,205.0,193,12.0,combined
2026-03-23,AMZN,0.0355384311516064,0.5340857636287373,148.0,148,0.0,stocktwits
2026-03-23,NVDA,0.0007609229043194429,0.3821177136517706,1037.0,959,78.0,combined
2026-03-23,TSLA,0.0660552678657316,0.34501094024331386,1090.0,1087,3.0,combined
2026-03-24,AAPL,-0.016425832446395634,0.3851074807722312,209.0,187,22.0,combined
2026-03-24,AMZN,0.075678633789721,0.5525534213330677,128.0,128,0.0,stocktwits
2026-03-24,NVDA,0.1012386975192229,0.35767689993215407,714.0,622,92.0,combined
2026-03-24,TSLA,0.025055354405020054,0.6131646388168477,856.0,854,2.0,combined
2026-03-25,AAPL,0.0367289350916858,0.3703042491926588,202.0,191,11.0,combined
2026-03-25,AMZN,0.0564420080221994,0.5469293976681245,191.0,191,0.0,stocktwits
2026-03-25,NVDA,0.08378664919720127,0.39584418146769135,785.0,705,80.0,combined
2026-03-25,TSLA,0.10420357019124708,,837.0,836,1.0,combined
2026-03-26,AAPL,0.21284377358547568,0.36374788981662276,376.0,370,6.0,combined
2026-03-26,AMZN,-0.0060185984963311,0.5077606248352372,179.0,179,0.0,stocktwits
2026-03-26,NVDA,0.0014331244478546952,0.41191402157246715,1085.0,1025,60.0,combined
2026-03-26,TSLA,0.001475429755115984,0.34434093283052375,900.0,898,2.0,combined
2026-03-27,AAPL,0.004767572282261313,0.383366850233027,355.0,339,16.0,combined
2026-03-27,AMZN,-0.031018354173284,0.570224805241594,332.0,332,0.0,stocktwits
2026-03-27,NVDA,-0.0017322787391713529,0.40189079828950125,1062.0,1020,42.0,combined
2026-03-27,TSLA,-0.1355762246021849,0.41038597522022874,1118.0,1112,6.0,combined
2026-03-28,AAPL,0.13413753628347677,0.350765675989786,53.0,47,6.0,combined
2026-03-28,AMZN,0.0816624302640032,0.5574216532297114,71.0,71,0.0,stocktwits
2026-03-28,NVDA,0.08676595821771219,0.3529411478854978,257.0,240,17.0,combined
2026-03-28,TSLA,0.21133305637456062,0.350051606040334,201.0,199,2.0,combined
2026-03-29,AAPL,-0.12626246972399396,0.4110104426806636,45.0,43,2.0,combined
2026-03-29,AMZN,0.1239637235765777,0.5517921919277647,56.0,56,0.0,stocktwits
2026-03-29,NVDA,0.11097070413443864,0.32954554747690606,268.0,243,25.0,combined
2026-03-29,TSLA,-0.39823937073276544,,204.0,203,1.0,combined
2026-03-30,AAPL,-0.04552856121518098,0.378594090278821,257.0,248,9.0,combined
2026-03-30,AMZN,0.1157706604661563,0.5569676607428296,169.0,169,0.0,stocktwits
2026-03-30,NVDA,0.07042768876258791,0.39920408984047717,1045.0,990,55.0,combined
2026-03-30,TSLA,0.15954903171235274,0.39160288470787064,1008.0,1006,2.0,combined
2026-03-31,AAPL,0.05494938044105574,0.3769100825739065,274.0,261,13.0,combined
2026-03-31,AMZN,0.1801737102064473,0.4814544981467664,171.0,171,0.0,stocktwits
2026-03-31,NVDA,0.1486775457447736,0.3824306581569745,1081.0,1001,80.0,combined
2026-03-31,TSLA,0.03960483965561243,0.45814830839159776,853.0,847,6.0,combined
2026-04-01,AAPL,-0.003915836133612027,0.34686744706895906,263.0,254,9.0,combined
2026-04-01,AMZN,0.1129722186325006,0.4950727183089884,184.0,184,0.0,stocktwits
2026-04-01,NVDA,0.09882072861588306,0.3790239525336714,808.0,746,62.0,combined
2026-04-01,TSLA,0.029292046409980826,0.39837048641562084,943.0,936,7.0,combined
2026-04-02,AAPL,-0.05290440579711358,0.3680458232788251,293.0,276,17.0,combined
